time,duration,stalta
2022-10-10T00:00:09.997000Z,6.670000076293945,9.54245260491553
2022-10-10T00:00:16.687000Z,11.329999923706055,6.62367689897954
2022-10-10T00:00:19.857000Z,15.430000305175781,6.144822200664803
2022-10-10T00:00:51.087000Z,8.399999856948853,5.707286132321246
2022-10-10T00:00:56.167000Z,5.440000057220459,5.221055380315089
2022-10-10T00:06:55.197000Z,4.8399999141693115,5.434859417043431
2022-10-10T02:27:26.737000Z,3.4700000286102295,4.349438128142554
2022-10-10T05:35:15.317000Z,2.31000018119812,9.089527362933705
2022-10-10T07:33:42.457000Z,2.5900001525878906,5.025564392943785
2022-10-10T07:56:00.957000Z,3.069999933242798,4.738772794674893
2022-10-10T08:49:38.717000Z,2.759999990463257,7.758236413827238
2022-10-10T09:07:53.887000Z,3.700000047683716,8.047883940366342
2022-10-10T09:21:08.517000Z,2.75,5.11141078133355
2022-10-10T11:11:03.737000Z,2.919999837875366,11.886264792130417
2022-10-10T11:14:52.137000Z,2.0900001525878906,7.495931966211355
2022-10-10T12:29:44.607000Z,1.7299997806549072,5.52974550061807
2022-10-10T15:39:02.657000Z,2.4100003242492676,9.00858755406739
2022-10-10T18:46:36.577000Z,3.1600000858306885,5.5236088969297645
2022-10-10T19:00:01.757000Z,3.190000057220459,10.207143300102814
2022-10-10T19:05:15.037000Z,2.6600000858306885,12.365408837275382
2022-10-10T22:20:16.687000Z,7.2799999713897705,4.2984467185665824
2022-10-10T22:20:18.357000Z,6.7200000286102295,4.534145218423388
2022-10-10T22:25:00.497000Z,4.940000057220459,4.529027189313625
2022-10-10T23:14:16.427000Z,3.9699997901916504,4.233409194980216
